NetworkFilename,MouseID,highscore,NetworkFilename_corrected,Dosereal,Strain,Sex,Score,seizure,AM,MS,AvgScore,circle_num_bouts,f2_distance_cm,f2_center_time_secs,f2_periphery_time_secs,f2_corner_time_secs,f2_center_distance_cm,f2_periphery_distance_cm,f2_corner_distance_cm,f2_grooming_number_bouts,f2_grooming_duration_secs,freeze_avg_bout_lens,freeze_num_bouts,freeze_first_bout,freeze_time_sec,leg_splaying_avg_bout_lens,leg_splaying_num_bouts,leg_splaying_first_bout,leg_splaying_time_sec,side_seizure_avg_bout_lens,side_seizure_num_bouts,side_seizure_first_bout,side_seizure_time_sec,straub_tail_avg_bout_lens,straub_tail_num_bouts,straub_tail_first_bout,straub_tail_time_sec,wild_jumping_avg_bout_lens,wild_jumping_num_bouts,wild_jumping_first_bout,wild_jumping_time_sec,freeze_behavior_proportion,straub_tail_behavior_proportion,leg_splaying_behavior_proportion,side_seizure_behavior_proportion,wild_jumping_behavior_proportion
007683_B6J_M_80mg-kg_.avi,007683,5,007683_B6J_M_80mg-kg_.avi,80,B6J,M,5,High,5,6,6,0,261.013,0,60.0331,49.7332,0,261.013,142.874,0,0,NA,0,0,0,2.11333333333333,5,106.7,10.5666666666667,4.3,1,115.7,4.3,0.304761904761905,7,75.3333333333333,2.13333333333333,NA,0,0,0,0,0.040201005025125545,0.1991206030150759,0.08103015075376879,0
007685_B6J_M_80mg-kg_.avi,007685,5,007685_B6J_M_80mg-kg_.avi,80,B6J,M,5,High,5,6,6,0,335.288,0,60.0331,37.4332,0,335.288,152.829,0,0,NA,0,0,0,3.33333333333333,3,85.1333333333333,10,1.86666666666667,2,71.3666666666667,3.73333333333333,0.583333333333333,4,71.1333333333333,2.33333333333333,NA,0,0,0,0,0.03411306042884985,0.14619883040935672,0.054580896686159786,0
007688_B6J_M_80mg-kg_.avi,007688,5,007688_B6J_M_80mg-kg_.avi,80,B6J,M,5,High,5,6,6,1,279.104,0,60.0331,41.9665,0,279.104,126.7541,0,0,3.64166666666667,4,100.433333333333,14.5666666666667,27.0833333333333,2,89.7333333333333,54.1666666666667,2.94444444444444,3,82.4333333333333,8.83333333333333,0.666666666666667,5,62.2333333333333,3.33333333333333,NA,0,0,0,0.1277030976037404,0.028993911278631376,0.4711510582777606,0.0768338648883732,0
007684 B6J_M_80mg-kg video_recording_NV10 or NV11 041222.avi,007684,6,007684 B6J_M_80mg-kg video_recording_NV10 or NV11 041222.avi,80,B6J,M,"5,6",High,6,7,6,0,255.8475,2.71666,57.31645,19.9666,20.2164,235.631,72.9529,0,0,NA,0,0,0,1.96666666666667,5,100.6,9.83333333333333,1,7,90.4333333333333,7,0.411111111111111,18,56.1333333333333,7.4,0.6,1,108.733333333333,0.6,0,0.10287303058387402,0.13670064874884155,0.09731232622798894,0.008341056533827622
007708_B6NJ_F_80mg-kg_.avi,007708,5,007708_B6NJ_F_80mg-kg_.avi,80,B6NJ,F,"1, 5",High,5,4,4,0,462.918,2.916655,57.1165,26.13325,56.89685,406.021,125.662,0,0,4.20952380952381,7,166.2,29.4666666666667,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.09558823529411765,0,0,0,0
007710_B6NJ_F_80mg-kg_.avi,007710,6,007710_B6NJ_F_80mg-kg_.avi,80,B6NJ,F,6,High,6,6,6,1,114.9426,0.183333,59.8498,3.283325,2.97907,111.9636,14.51495,0,0,4.67777777777778,6,69.7333333333333,28.0666666666667,4.79166666666667,4,41.6,19.1666666666667,NA,0,35.8333333333333,0,0.733333333333333,1,34.8333333333333,0.733333333333333,0.933333333333333,1,128.4,0.933333333333333,0.2787156570671966,0.007213114754098334,0.18852459016393414,0,0.009180327868852426
007711_B6NJ_F_80mg-kg_.avi,007711,6,007711_B6NJ_F_80mg-kg_.avi,80,B6NJ,F,6,High,6,7,6,0,388.638,6.73331,53.2998,13.19996,43.1299,345.5085,86.48435,0,0,NA,0,0,0,0.875,8,59.3,7,1.11666666666667,4,93.8333333333333,4.46666666666667,0.790909090909091,11,87.5333333333333,8.7,3.23333333333333,1,107.866666666667,3.23333333333333,0,0.10856905158069888,0.0873544093178037,0.05574043261231288,0.040349417637271186
007706_B6NJ_F_80mg-kg_.avi,007706,7,007706_B6NJ_F_80mg-kg_.avi,80,B6NJ,F,"3, 7",High,7,6,6,0,406.46,8.06664,51.9665,15.59995,82.00915,324.451,88.37635,0,0,3.26666666666667,1,86.0666666666667,3.26666666666667,1.9,5,60.8333333333333,9.5,5.43333333333333,1,133.366666666667,5.43333333333333,0.433333333333333,10,60.6666666666667,4.33333333333333,NA,0,0,0,0.035430224150397725,0.04656160458452717,0.1020773638968481,0.05838108882521484,0
007707_B6NJ_F_80mg-kg_.avi,007707,7,007707_B6NJ_F_80mg-kg_.avi,80,B6NJ,F,"3, 7",High,7,6,6,4,279.6765,23.299935,36.73325,11.26665,103.36465,176.3116,48.55485,0,0,6.1,2,107.066666666667,12.2,0.5,1,81.7333333333333,0.5,NA,0,0,0,0.433333333333333,1,136.233333333333,0.433333333333333,NA,0,0,0,0.1598951507208388,0.005569837189374461,0.006426735218508998,0,0
007709_B6NJ_F_80mg-kg_.avi,007709,7,007709_B6NJ_F_80mg-kg_.avi,80,B6NJ,F,7,High,7,6,6,0,309.268,10.1333155,49.89985,21.599955,54.27395,254.994,85.41405,0,0,3.06666666666667,1,131.033333333333,3.06666666666667,2.15,2,100.2,4.3,5.1,1,93.8666666666667,5.1,0.420833333333333,8,47.2333333333333,3.36666666666667,0.8,1,93.2666666666667,0.8,0.027226990233797092,0.029775943396226353,0.038030660377358375,0.04510613207547156,0.007075471698113187
